ID,Depth,Diameter,Volume,Ridge Height,Depth Error,Volume Error,Ridge Height Error,Diameter Error
2022_10_31_50mTorr_h10_1s_noacrylic.txt,29.57520434,204.1852369,339658.1436,0.875550572,0.022555144,1132.141268,0.022555144,0.871821956
2022_10_31_50mTorr_h3_1s_noacrylic.txt,32.01556246,268.7146104,737218.5182,-0.296594786,0.03655273,1119.410958,0.03655273,0.780299602
2022_11_01_50mTorr_h10_1s_032gs_noacrylic.txt,3.07015546,69.07845373,1855.499861,-2.149632851,0.141909385,106.7207204,0.141909385,0.480445985
2022_11_01_50mTorr_h15_1s_noacrylic.txt,32.87553496,213.0702175,395442.6872,1.978187882,0.048719135,1729.481674,0.048719135,0.812421494
2022_11_01_50mTorr_h3_1s_032gs_noacrylic.txt,12.55839338,78.38774639,23241.9468,-0.781181827,0.078516346,323.9584157,0.078516346,0.818711293
2022_11_01_6Torr_h10_1s_noacrylic_smoothed.txt,24.98699887,226.0472795,410378.0578,-8.376907476,0.002124936,245.0670325,0.002124936,0.942441991
2023_08_07_50mTorr_h10_1s_032gs_crater8.txt,4.395225357,76.17883195,3334.475872,-2.612178122,0.152775634,116.4275126,0.152775634,0.481517927
2023_08_07_50mTorr_h10_1s_860gs_crater16.txt,30.71447714,206.4724124,350138.8232,2.558727013,0.031069195,1356.431274,0.031069195,0.85191099
2023_08_07_50mTorr_h10_1s_860gs_crater2.txt,30.85865242,215.8470122,336836.0743,2.475533465,0.03007896,1207.874812,0.03007896,0.83249186
"2023_08_07_50mTorr_h3,3_1s_032gs_crater12.txt",13.65484256,65.9266134,19382.09629,-2.114691739,0.248892266,501.8621705,0.248892266,0.725220652
"2023_08_07_50mTorr_h3,3_1s_860gs_crater6.txt",32.16529028,251.6991801,671859.3745,-0.663285586,0.038273138,1175.508662,0.038273138,0.779887801
2023_08_07_6Torr_h10_1s_032_crater10.txt,10.88540883,80.06917243,20819.28066,-0.507891341,0.024927942,152.9171906,0.024927942,0.845400708
2023_08_07_6Torr_h10_1s_860gs_crater1.txt,29.45598361,242.4144894,510212.9822,-4.806024435,0.012176425,356.5366914,0.012176425,0.802881998
2023_08_07_6Torr_h10_1s_860gs_crater18.txt,24.5987987,254.0170619,500919.1733,1.169655225,0.002645619,300.5803539,0.002645619,0.942317669
"2023_08_07_6Torr_h3,3_1s_032gs_crater14.txt",10.69896611,93.72913542,27015.22808,-0.395015878,0.013065402,91.83013328,0.013065402,0.839185938
"2023_08_07_6Torr_h3,3_1s_860gs_crater4.txt",22.70711781,239.5348831,381223.0598,-5.108583724,0.004705701,333.0638988,0.004705701,0.941711855
25_10_2022_6Torr_0_3s_noacrylic.txt,18.91091267,111.7404653,74895.97872,-9.715326773,0.021689324,535.8579746,0.021689324,0.792935776
crater01_03_09_2022.txt,29.26259124,203.3782298,329527.9352,2.491275942,0.021354285,1081.90405,0.021354285,0.878135137
crater10_03_29_2022.txt,19.5873386,234.1349374,315323.1083,-4.021077335,0.00796609,368.4684522,0.00796609,0.928637618
crater11_03_29_2022.txt,22.93547612,251.9090178,416852.1445,-5.148416342,0.004459865,330.5646152,0.004459865,0.941784987
crater12_03_29_2022.txt,31.78354526,212.7086936,393137.0338,2.28889722,0.040757296,1576.048075,0.040757296,0.833151437
crater2_03_29_2022.txt,24.10186178,229.1474575,407435.2374,-5.582721437,0.003111997,271.802861,0.003111997,0.942158524
crater3_03_29_2022.txt,25.62749479,222.3685991,397424.1763,-7.568315756,0.004941208,366.8699912,0.004941208,0.932978949
crater4_03_29_2022.txt,27.1039683,240.8024549,450350.0716,-1.817035058,0.006914768,323.1836174,0.006914768,0.876548569
crater5_03_29_2022.txt,23.55984302,236.0453726,409822.2139,-2.645508983,0.003751279,305.5585929,0.003751279,0.941984942
crater6_03_29_2022.txt,26.0520143,228.8211736,412850.1127,-4.55525456,0.006918424,480.522056,0.006918424,0.926574093
crater7_03_29_2022.txt,23.1383351,247.9336141,437415.4165,-1.268153129,0.004238599,326.9077319,0.004238599,0.941849953
crater8_03_29_2022.txt,31.5233608,207.2499339,385260.6102,1.911070101,0.037500891,1496.554978,0.037500891,0.838090686
crater9_03_29_2022.txt,31.95691106,208.247425,389398.2075,1.73511571,0.040878028,1564.296728,0.040878028,0.829860322
crater_63mTorr_uncropped.txt,35.45236077,188.697786,385134.4887,-8.397680757,0.057864296,1827.592859,0.057864296,0.772091406
crater_ambient_cropped.txt,18.82507456,148.2140693,124266.7039,0.721252916,0.010272012,298.0841863,0.010272012,0.886403941
crater_depth.txt,3.371224179,167.4196437,18142.36364,-0.228963274,0.352785363,260.1962284,0.352785363,0.47302705
